"year","sem","time","post","Comune_ISTAT","Comune_amm","Comune_descrizione","Fascia","Zona","LinkZona","zone_key","price_mid","Compr_min","Compr_max","CODCOM","CODZONA","cx","cy","dist_cortina_km","dist_bin","log_price"
2021,1,2021,1,5025006,"A757","BELLUNO","B","B1","BL00000030","A757_B1",1200,1050,1350,"A757","B1",748171.065299043,5115203.81051484,44.453682167,"40-60 km",7.09007683577609
2021,1,2021,1,5025006,"A757","BELLUNO","B","B2","BL00001762","A757_B2",1225,1000,1450,"A757","B2",748537.189110619,5114409.08940934,45.3013075229609,"40-60 km",7.11069612297883
2021,1,2021,1,5025006,"A757","BELLUNO","E","E2","BL00000034","A757_E2",1050,950,1150,"A757","E2",753765.645798968,5109902.07844082,50.8695970499455,"40-60 km",6.95654544315157
2021,1,2021,1,5025001,"A083","AGORDO","B","B2","BL00001760","A083_B2",1500,1400,1600,"A083","B2",733948.823743866,5129800.32212597,29.8304932784096,"20-40 km",7.3132203870903
2021,1,2021,1,5025001,"A083","AGORDO","E","E1","BL00000062","A083_E1",1025,950,1100,"A083","E1",733008.658478463,5129749.16889877,30.0936956665905,"20-40 km",6.93244789157251
2021,1,2021,1,5025003,"A206","ALLEGHE","B","B1","BL00000093","A206_B1",1950,1750,2150,"A206","B1",732141.811507054,5143589.07656054,17.3844280481503,"0-20 km",7.57558465155779
2021,1,2021,1,5025003,"A206","ALLEGHE","E","E1","BL00000095","A206_E1",1600,1500,1700,"A206","E1",730102.524525377,5147110.21642548,15.6134257096242,"0-20 km",7.37775890822787
2021,1,2021,1,5025003,"A206","ALLEGHE","R","R1","BL00002069","A206_R1",1500,1400,1600,"A206","R1",733465.333195551,5143406.14578466,16.9730313831197,"0-20 km",7.3132203870903
2021,1,2021,1,5025016,"A266","CORTINA D`AMPEZZO","B","B1","BL00000119","A266_B1",9950,9200,10700,"A266","B1",740690.435960326,5158752.30100922,0.456828168431743,"0-20 km",9.20532783015264
2021,1,2021,1,5025016,"A266","CORTINA D`AMPEZZO","B","B2","BL00001763","A266_B2",13000,12200,13800,"A266","B2",740623.210525873,5158410.74693871,0.64076260239875,"0-20 km",9.47270463644367
2021,1,2021,1,5025016,"A266","CORTINA D`AMPEZZO","D","D1","BL00000121","A266_D1",7000,5600,8400,"A266","D1",740456.211632934,5157958.270011,1.00874498528016,"0-20 km",8.85366542803745
2021,1,2021,1,5025016,"A266","CORTINA D`AMPEZZO","R","R1","BL00002167","A266_R1",7000,5600,8400,"A266","R1",739347.200813298,5160684.17946488,1.96757635077921,"0-20 km",8.85366542803745
2021,1,2021,1,5025004,"A443","ARSIE`","B","B1","BL00000136","A443_B1",670,600,740,"A443","B1",713595.038518385,5095637.18076855,68.707605389085,"60-80 km",6.50727771238501
2021,1,2021,1,5025004,"A443","ARSIE`","E","E1","BL00000138","A443_E1",720,640,800,"A443","E1",713357.040245544,5096908.05435176,67.6326823991312,"60-80 km",6.5792512120101
2021,1,2021,1,5025004,"A443","ARSIE`","E","E4","BL00002003","A443_E4",675,610,740,"A443","E4",713229.4932829,5092573.71179283,71.6776410246078,"60-80 km",6.51471269087253
2021,1,2021,1,5025004,"A443","ARSIE`","R","R1","BL00002071","A443_R1",590,530,650,"A443","R1",712498.053803318,5095174.18403436,69.5652620640665,"60-80 km",6.38012253689976
2021,1,2021,1,5025005,"A501","AURONZO DI CADORE","B","B1","BL00000167","A501_B1",1800,1550,2050,"A501","B1",763426.182622978,5161369.25595188,23.2728588534434,"20-40 km",7.49554194388426
2021,1,2021,1,5025005,"A501","AURONZO DI CADORE","B","B2","BL00001761","A501_B2",1925,1800,2050,"A501","B2",763488.656815952,5161028.73925205,23.3021742712286,"20-40 km",7.56268124672188
2021,1,2021,1,5025005,"A501","AURONZO DI CADORE","D","D1","BL00000169","A501_D1",1425,1300,1550,"A501","D1",760320.987128962,5163211.8205089,20.4895592440304,"20-40 km",7.26192709270275
