"zone_key","CODCOM","CODZONA","cx","cy","dist_cortina_km"
"A083_R2","A083","R2",732955.421646687,5129561.82938717,30.2883481065989
"A083_B2","A083","B2",733948.823743866,5129800.32212597,29.8304932784096
"A083_B3","A083","B3",733735.870519345,5130184.9247259,29.5012649246626
"A083_D3","A083","D3",734307.824275942,5129307.65243407,30.2391856787715
"A083_D2","A083","D2",732963.393967732,5130924.91658085,28.9655709502768
"A083_R3","A083","R3",735073.604525551,5132919.3186181,26.5474447760124
"A083_E1","A083","E1",733008.658478463,5129749.16889877,30.0936956665905
"A266_R1","A266","R1",739347.200813298,5160684.17946488,1.96757635077921
"A266_D1","A266","D1",740456.211632934,5157958.270011,1.00874498528016
"A266_B2","A266","B2",740623.210525873,5158410.74693871,0.64076260239875
"A266_B1","A266","B1",740690.435960326,5158752.30100922,0.456828168431743
"A443_R1","A443","R1",712498.053803318,5095174.18403436,69.5652620640665
"A443_E6","A443","E6",710571.853180691,5093164.84750359,72.1830826194136
"A443_E4","A443","E4",713229.4932829,5092573.71179283,71.6776410246078
"A443_E5","A443","E5",710543.440757565,5094641.69845639,70.8516311866625
"A443_B1","A443","B1",713595.038518385,5095637.18076855,68.707605389085
"A443_E1","A443","E1",713357.040245544,5096908.05435176,67.6326823991312
"A501_R1","A501","R1",755791.15312218,5162280.26402779,15.8650618606528
"A501_D1","A501","D1",760320.987128962,5163211.8205089,20.4895592440304
"A501_B2","A501","B2",763488.656815952,5161028.73925205,23.3021742712286
"A501_E3","A501","E3",765596.156013205,5156796.41512485,25.4084401995865
"A501_E2","A501","E2",749273.974612757,5163823.1934846,10.2293414959774
"A501_B1","A501","B1",763426.182622978,5161369.25595188,23.2728588534434
"A757_D3","A757","D3",746028.190222706,5113540.40585471,45.7734224687845
"A757_B2","A757","B2",748537.189110619,5114409.08940934,45.3013075229609
"A757_R4","A757","R4",752640.799386389,5108677.06647691,51.7717449165184
"A757_E5","A757","E5",745479.597308484,5117164.3195962,42.1093980530332
"A757_E6","A757","E6",744585.96516411,5113775.38504426,45.3808073847601
"A757_R3","A757","R3",746893.132365696,5120519.38264155,38.9969387541781
"A757_E2","A757","E2",753765.645798968,5109902.07844082,50.8695970499455
"A757_B1","A757","B1",748171.065299043,5115203.81051484,44.453682167
"A757_D4","A757","D4",749892.334684817,5117124.9695739,42.916887712047
"A757_R2","A757","R2",747397.036700991,5114032.81570327,45.4790016295568
"A757_E4","A757","E4",750224.268770017,5112723.29636554,47.2857092574682
"B574_R1","B574","R1",722025.595192711,5134383.14095131,30.607099573714
"B574_B1","B574","B1",724196.313853089,5137859.75443066,26.5239088386692
"B574_E2","B574","E2",723076.109977143,5139344.81457385,26.0838210399994
"B662_R1","B662","R1",754172.305706358,5117795.70718334,43.4373747814904
"B662_D1","B662","D1",753561.45696507,5121164.18909794,40.0535641386623
"B662_B1","B662","B1",753096.929222859,5119441.92021122,41.5366042158817
"B662_E1","B662","E1",754992.020015231,5117169.50560103,44.2966107579938
"C458_R1","C458","R1",728490.161232036,5136790.63434755,25.1014214553464
"C458_D1","C458","D1",728775.774902668,5136773.58535928,24.9836867387527
"C458_B1","C458","B1",728395.613291899,5137331.79537328,24.6703742769407
"C577_R1","C577","R1",728640.545323369,5110869.21387865,49.4707382769179
"C577_B1","C577","B1",730808.755352607,5108002.86769896,51.8212396465352
"C577_E1","C577","E1",728355.744596708,5106499.72258135,53.7898327412073
"C630_R1","C630","R1",764570.698826269,5118970.82343008,46.7816013261478
"C630_B1","C630","B1",761374.964441734,5118929.03461461,45.241753111126
"C630_E1","C630","E1",762124.41004741,5118975.91522616,45.5548867459973
"C872_R1","C872","R1",731830.181988594,5150451.69997816,11.9846344855465
"C872_B1","C872","B1",731702.295237071,5148438.74286963,13.5676020911311
"C919_R1","C919","R1",776681.880239874,5164360.1085505,36.8022393519847
"C919_E4","C919","E4",771482.445090574,5163792.44364632,31.5764851795563
"C919_B1","C919","B1",772239.683070137,5162080.11632837,32.1131961443872
"C919_E1","C919","E1",774297.754406602,5162941.23283622,34.2516658041354
"C920_R1","C920","R1",765843.619029802,5169762.71649521,27.7564646426547
"C920_B1","C920","B1",767585.135090414,5166440.10234237,28.314159052046
"D247_R1","D247","R1",768683.054699835,5162518.59382794,28.6269163417099
"D247_B1","D247","B1",769550.395997692,5163098.06132528,29.5633918610525
"D330_R1","D330","R1",763502.153696233,5149495.68965867,25.0741409601241
"D330_D1","D330","D1",760977.61646459,5149826.39746392,22.6204988380064
"D330_B1","D330","B1",762247.72202988,5150879.8556578,23.4043271660344
"D470_R1","D470","R1",718785.191651955,5137804.73475555,30.1525379364196
"D470_B1","D470","B1",721439.235490908,5137997.18011434,28.1784484697471
"D470_E1","D470","E1",721209.771617377,5139175.21846539,27.4725664891104
"D530_B2","D530","B2",725179.862034384,5100230.65708513,60.6309706227581
"D530_E3","D530","E3",729726.118067411,5100583.20425776,59.3145191766716
"D530_B3","D530","B3",724815.805105051,5100574.83433405,60.389891609419
"D530_R3","D530","R3",725684.281348211,5102938.15350607,57.8834557536354
"D530_E5","D530","E5",725639.481584216,5103432.07364803,57.4170358146761
"D530_D4","D530","D4",722791.868825273,5099658.64663447,61.8177690983049
"D686_R1","D686","R1",717002.881964992,5098304.18650233,64.9605371692754
"D686_D1","D686","D1",717318.226325234,5098512.8199156,64.6531371830241
"D686_B1","D686","B1",717228.936253191,5099481.69709272,63.7805625314227
"E113_R1","E113","R1",729434.624381879,5121762.4051867,38.7379097554225
"E113_B1","E113","B1",727971.115701068,5123192.08884304,37.8182103356121
