Quotazioni Immobiliari : Valori di Mercato - Semestre 2015/2 - elaborazione del 23-MAG-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;20;Abitazioni civili;NORMALE;P;1050;1350;L;4,3;6,2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;21;Abitazioni di tipo economico;NORMALE;P;850;1100;L;3,3;4,8;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;16;Autorimesse;NORMALE;P;450;600;L;2,5;3,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;13;Box;NORMALE;P;700;1000;L;4,1;6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;14;Posti auto coperti;NORMALE;P;500;650;L;2,8;4;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;15;Posti auto scoperti;NORMALE;P;400;500;L;2,1;2,7;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;5;Negozi;NORMALE;P;1300;1900;L;6,3;8;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B1;BL00000030;6;Uffici;NORMALE;P;1150;1500;L;5,5;6,8;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;20;Abitazioni civili;NORMALE;P;1350;1750;L;5;7,2;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;21;Abitazioni di tipo economico;NORMALE;P;1150;1500;L;4;6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;16;Autorimesse;NORMALE;P;500;600;L;2,9;3,7;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;13;Box;NORMALE;P;800;1100;L;4,9;7;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;14;Posti auto coperti;NORMALE;P;600;750;L;3,3;4,6;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;15;Posti auto scoperti;NORMALE;P;400;500;L;2,4;3,1;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;5;Negozi;NORMALE;P;2300;3400;L;9;13,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;B2;BL00001762;6;Uffici;NORMALE;P;1350;1800;L;5,5;8;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;20;Abitazioni civili;NORMALE;P;950;1250;L;3,7;5,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;21;Abitazioni di tipo economico;NORMALE;P;700;900;L;3,1;4,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;16;Autorimesse;NORMALE;P;330;440;L;1,9;2,5;L;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;C;C1;BL00000031;13;Box;NORMALE;P;540;750;L;3,1;4;L;
